experiment,parameter,value,run_index,duration_s,bytes_sent,segments_sent,rtt_ms
window_sweep,N,1,1,95.035,1024000,2048,36.893
window_sweep,N,1,2,86.784,1024000,2048,38.673
window_sweep,N,1,3,84.768,1024000,2048,62.01
window_sweep,N,1,4,81.977,1024000,2048,36.438
window_sweep,N,1,5,88.431,1024000,2048,55.205
window_sweep,N,2,1,54.417,1024000,2048,46.506
window_sweep,N,2,2,54.199,1024000,2048,32.246
window_sweep,N,2,3,51.258,1024000,2048,32.243
window_sweep,N,2,4,56.166,1024000,2048,39.502
window_sweep,N,2,5,52.945,1024000,2048,34.752
window_sweep,N,4,1,42.853,1024000,2048,47.522
window_sweep,N,4,2,44.264,1024000,2048,34.347
window_sweep,N,4,3,42.941,1024000,2048,33.468
window_sweep,N,4,4,41.039,1024000,2048,37.665
window_sweep,N,4,5,35.442,1024000,2048,32.662
window_sweep,N,8,1,31.043,1024000,2048,34.003
window_sweep,N,8,2,35.853,1024000,2048,38.375
window_sweep,N,8,3,35.821,1024000,2048,54.17
window_sweep,N,8,4,35.408,1024000,2048,34.006
window_sweep,N,8,5,32.197,1024000,2048,28.926
window_sweep,N,16,1,29.408,1024000,2048,30.199
window_sweep,N,16,2,29.048,1024000,2048,39.481
window_sweep,N,16,3,29.575,1024000,2048,36.034
window_sweep,N,16,4,27.202,1024000,2048,32.926
window_sweep,N,16,5,27.202,1024000,2048,40.234
window_sweep,N,32,1,30.142,1024000,2048,34.502
window_sweep,N,32,2,24.364,1024000,2048,33.33
window_sweep,N,32,3,25.928,1024000,2048,33.4
window_sweep,N,32,4,23.957,1024000,2048,37.628
window_sweep,N,32,5,32.192,1024000,2048,33.862
window_sweep,N,64,1,25.047,1024000,2048,43.475
window_sweep,N,64,2,30.343,1024000,2048,41.92
window_sweep,N,64,3,27.049,1024000,2048,30.399
window_sweep,N,64,4,25.821,1024000,2048,40.063
window_sweep,N,64,5,27.952,1024000,2048,37.91
window_sweep,N,128,1,29.509,1024000,2048,150.623
window_sweep,N,128,2,24.946,1024000,2048,38.371
