experiment,parameter,value,avg_duration_s,min_duration_s,max_duration_s,avg_rtt_ms,runs
sr_window_sweep,N,1,34.495,32.251,36.332,16.4544,5
sr_window_sweep,N,2,27.2646,25.509,30.628,10.4626,5
sr_window_sweep,N,4,22.9072,19.2,24.795,13.3918,5
sr_window_sweep,N,8,19.009,17.748,20.863,22.049,5
sr_window_sweep,N,16,14.475,13.123,15.204,17.0954,5
sr_window_sweep,N,32,9.701600000000001,9.212,10.122,12.685799999999999,5
sr_window_sweep,N,64,6.0638,5.874,6.318,13.9704,5
sr_window_sweep,N,128,4.1594,3.578,4.819,13.619399999999999,5
sr_window_sweep,N,256,3.4504,3.098,3.875,28.625400000000003,5
sr_window_sweep,N,512,2.9388,2.732,3.049,14.693,5
sr_window_sweep,N,1024,2.6638,2.568,2.814,16.1678,5
sr_mss_sweep,MSS,100,31.0412,28.96,32.55,22.904400000000003,5
sr_mss_sweep,MSS,200,15.4228,15.028,16.105,364.1832,5
sr_mss_sweep,MSS,300,10.5588,9.872,11.86,43.586,5
sr_mss_sweep,MSS,400,7.955,7.224,8.313,25.4542,5
sr_mss_sweep,MSS,500,6.1706,5.889,6.505,12.1058,5
sr_mss_sweep,MSS,600,5.2374,4.806,5.906,22.2244,5
sr_mss_sweep,MSS,700,4.6054,4.091,5.561,12.7696,5
sr_mss_sweep,MSS,800,4.0084,3.464,4.928,12.171800000000001,5
sr_mss_sweep,MSS,900,3.6206,3.033,4.492,10.267,5
sr_mss_sweep,MSS,1000,3.6997999999999998,3.19,4.244,27.1338,5
sr_loss_sweep,p,0.01,2.8456,2.54,3.021,12.673,5
sr_loss_sweep,p,0.02,4.562,4.027,5.358,11.9518,5
sr_loss_sweep,p,0.03,5.0686,4.899,5.235,11.6938,5
sr_loss_sweep,p,0.04,5.8908,5.2,6.374,16.0486,5
sr_loss_sweep,p,0.05,6.4556,5.947,6.866,8.606,5
sr_loss_sweep,p,0.06,6.874,6.625,7.206,11.087,5
sr_loss_sweep,p,0.07,7.726,6.885,8.627,10.9082,5
sr_loss_sweep,p,0.08,7.6952,7.099,8.193,11.0906,5
sr_loss_sweep,p,0.09,8.2692,7.554,8.864,12.5078,5
sr_loss_sweep,p,0.1,8.440000000000001,7.838,9.329,14.1332,5
